"Url","DA","PA","MozRank","LinksIn","Equity","SemRush Domain","SR Rank","SR KWords","SR Traffic","SR Costs","SR ULinks","SR HLinks","SR DLinks","CF","TF","EBL","RefDomains"
"kyffhaeuser-nachrichten.de","40.6","28.8","2.7","3","1","kyffhaeuser-nachrichten.de","19784297","13","0","0","53","114","35937","40","25","1223562","920"
"landkreis-kurier.de","30.5","1.0","0.0","0","0","landkreis-kurier.de","21259274","3","0","0","13","27","753","27","17","6189","182"
"lebe-liebe-lache.com","30.7","39.9","2.6","5","5","lebe-liebe-lache.com","26509262","30","0","0","37","38","153584","19","18","5523","250"
"leverkusen.com","38.7","42.6","5.6","7618","4","leverkusen.com","8794095","117","5","0","162","312","23538","21","18","102575","1719"
"livestream-bundesliga.com","15.8","21.7","0.0","0","0","notfound","0","0","0","0","1","1","29","13","3","372","314"
"made-in-mitte.de","8.2","23.3","2.9","2","1","notfound","0","0","0","0","2","2","2","11","5","9","4"
"maulbeerblatt","bad_url","bad_url","bad_url","bad_url","bad_url","bad_url","bad_url","bad_url","bad_url","bad_url","bad_url","bad_url","bad_url","bad_url","bad_url","bad_url","bad_url"
"maxim-magazin.com","34.2","45.2","5.6","6939","1302","maxim-magazin.com","5084291","131","27","0","57","472","473","29","13","4158","381"
"mmnews.de","53.3","47.7","4.1","46","31","mmnews.de","2689383","106","98","1","188","255","525975","42","27","1664437","3809"
"motorsport-magazin.com","51.8","46.0","4.9","35","28","motorsport-magazin.com","2761839","4042","94","4","561","577","130803","56","50","1383847","3450"
"msh-online.de","29.9","1.0","0.0","0","0","msh-online.de","8871841","1","4","0","0","1","1237","33","25","1423152","35"
"my-digital-home.de","28.4","33.7","4.5","347","59","my-digital-home.de","7030369","373","10","5","28","334","475","24","18","1029","255"
"nerdor.de","16.3","1.0","0.0","0","0","notfound","0","0","0","0","1","1","178","19","13","412","39"
"newratings.de","29.4","1.0","0.0","0","0","notfound","0","0","0","0","0","0","0","39","27","1836166","94"
"newsbloggers.ch","33.7","36.6","4.6","65","57","notfound","0","0","0","0","36","509","585","28","13","34537","237"
"newscouch.de","26.7","36.9","4.0","89","47","newscouch.de","24481460","9","0","0","74","77","289","27","7","679","146"
"niederlausitz-aktuell.de","37.2","29.5","0.0","0","0","niederlausitz-aktuell.de","22027142","114","0","0","56","56","34982","37","38","129253","1585"
"nnz-online.de","45.1","31.3","2.9","122","5","nnz-online.de","12906827","55","1","0","59","2905","235494","41","37","1888042","1708"
"noelsch.de","29.0","40.6","5.1","506","266","noelsch.de","13468683","16","0","0","2","2","1310","28","23","13757","148"
"nq-online.de","45.2","33.4","1.8","2","1","nq-online.de","10119256","86","3","0","0","0","0","30","23","464062","935"
"oddsetonlinespielen.com","22.7","35.3","5.9","227","166","notfound","0","0","0","0","66","126","126","18","16","409","58"
"onlinegames-toplist.de","22.1","30.0","0.0","0","0","notfound","0","0","0","0","12","12","5968","16","16","5840","23"
"onlinegewinnen.info","13.6","1.0","0.0","0","0","onlinegewinnen.info","40250619","9","0","0","34","34","364","23","13","501","38"
"onlinesportwetten.eu","13.1","26.4","4.1","3","2","notfound","0","0","0","0","7","11","12","14","11","12","5"
"optionsscheinecheck.de","32.7","33.9","0.0","3","0","optionsscheinecheck.de","40528319","14","0","0","0","0","0","41","22","1705499","150"
"owl-go.de","25.5","34.1","3.1","3","2","owl-go.de","42196784","2","0","0","31","37","1194","30","35","2113","568"
